Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
tqwt_entropy_log_dec_35,1,9,43,1,9.0,17.666666666666668,2.644646924829157
std_delta_delta_log_energy,2,1,9,1,2.0,4.0,1.8620689655172413
mean_MFCC_2nd_coef,3,69,253,3,69.0,108.33333333333333,8.52808988764045
std_8th_delta_delta,4,150,246,4,150.0,133.33333333333334,11.506080449017773
tqwt_TKEO_mean_dec_16,5,526,521,5,521.0,350.6666666666667,14.718831571069998
tqwt_entropy_shannon_dec_35,6,406,477,6,406.0,296.3333333333333,17.52068757539204
tqwt_TKEO_std_dec_12,7,4,34,4,7.0,15.0,7.104477611940299
tqwt_maxValue_dec_12,8,417,455,8,417.0,293.3333333333333,23.148883387304217
tqwt_entropy_log_dec_11,9,374,402,9,374.0,261.6666666666667,25.801464419189994
tqwt_TKEO_mean_dec_12,10,11,4,4,10.0,8.333333333333334,6.804123711340206
tqwt_stdValue_dec_12,11,2,1,1,2.0,4.666666666666667,1.885714285714286
tqwt_entropy_log_dec_12,12,140,109,12,109.0,87.0,30.105217010083297
tqwt_entropy_shannon_dec_14,13,73,40,13,40.0,42.0,25.946684894053316
tqwt_energy_dec_27,14,6,19,6,14.0,13.0,10.318965517241379
tqwt_stdValue_dec_15,15,326,233,15,233.0,191.33333333333334,40.526303309106865
app_entropy_shannon_5_coef,16,729,691,16,691.0,478.6666666666667,45.928499655243805
tqwt_TKEO_mean_dec_11,17,176,62,17,62.0,85.0,37.20497392699559
tqwt_TKEO_std_dec_13,18,528,500,18,500.0,348.6666666666667,50.46300229377283
app_LT_entropy_shannon_6_coef,19,598,540,19,540.0,385.6666666666667,53.422920863058785
tqwt_skewnessValue_dec_36,20,382,407,20,382.0,269.6666666666667,54.47137001179534
tqwt_medianValue_dec_8,21,236,221,21,221.0,159.33333333333334,53.20920441112173
tqwt_TKEO_mean_dec_13,22,7,6,6,7.0,11.666666666666666,8.451219512195122
app_entropy_log_5_coef,23,748,650,23,650.0,473.6666666666667,64.71986325947134
app_LT_entropy_shannon_7_coef,24,599,532,24,532.0,385.0,66.34846679698796
tqwt_minValue_dec_10,25,642,718,25,642.0,461.6666666666667,69.84802689531999
minIntensity,26,240,329,26,240.0,198.33333333333334,65.69191714486848
std_9th_delta_delta,27,21,150,21,27.0,66.0,32.850521436848204
tqwt_minValue_dec_11,28,30,2,2,28.0,20.0,5.271966527196653
tqwt_entropy_shannon_dec_11,29,300,227,29,227.0,185.33333333333334,71.05405178513605
std_6th_delta_delta,30,14,137,14,30.0,60.333333333333336,26.771091811414394
std_Log_energy,31,322,337,31,322.0,230.0,78.26560573276565
app_LT_TKEO_std_8_coef,32,742,623,32,623.0,465.6666666666667,87.71200088546998
tqwt_kurtosisValue_dec_26,33,234,208,33,208.0,158.33333333333334,76.17262638717634
std_3rd_delta,34,321,330,34,321.0,228.33333333333334,84.37078335832085
tqwt_TKEO_std_dec_11,35,16,8,8,16.0,19.666666666666668,13.884297520661157
std_delta_log_energy,36,167,200,36,167.0,134.33333333333334,77.3877971337853
tqwt_maxValue_dec_11,37,17,84,17,37.0,46.0,30.68886737657309
app_LT_entropy_log_6_coef,38,589,579,38,579.0,402.0,100.8718757702736
std_6th_delta,39,53,24,24,39.0,38.666666666666664,34.81263157894737
std_7th_delta_delta,40,10,37,10,37.0,29.0,19.733333333333334
app_entropy_shannon_4_coef,41,727,692,41,692.0,486.6666666666667,110.25015367127354
tqwt_entropy_log_dec_17,42,747,620,42,620.0,469.6666666666667,112.10295185513895
tqwt_energy_dec_26,43,294,280,43,280.0,205.66666666666666,99.24375245322517
tqwt_entropy_log_dec_16,44,18,11,11,18.0,24.333333333333332,17.73134328358209
std_9th_delta,45,121,82,45,82.0,82.66666666666667,70.28755837749908
tqwt_entropy_shannon_dec_16,46,229,81,46,81.0,118.66666666666667,78.02011643146699
app_entropy_shannon_7_coef,47,24,10,10,24.0,27.0,18.411316648531013
tqwt_maxValue_dec_17,48,187,353,48,187.0,196.0,103.39911455330628
tqwt_skewnessValue_dec_25,49,248,235,49,235.0,177.33333333333334,104.54513282975583
app_entropy_shannon_6_coef,50,733,659,50,659.0,480.6666666666667,131.1090985746779
tqwt_entropy_shannon_dec_36,51,708,585,51,585.0,448.0,131.9860535737717
app_entropy_shannon_3_coef,52,725,693,52,693.0,490.0,136.03541371248662
std_8th_delta,53,216,307,53,216.0,192.0,112.12906381937871
tqwt_skewnessValue_dec_30,54,455,458,54,455.0,322.3333333333333,131.0059295593189
tqwt_minValue_dec_12,55,147,190,55,147.0,130.66666666666666,99.18110405681696
tqwt_medianValue_dec_10,56,85,181,56,85.0,107.33333333333333,85.35649417126251
maxIntensity,57,90,174,57,90.0,107.0,87.20398593200468
meanIntensity,58,209,141,58,141.0,136.0,103.02810986758826
app_LT_entropy_shannon_8_coef,59,546,610,59,546.0,405.0,146.91479923441923
tqwt_medianValue_dec_25,60,693,660,60,660.0,471.0,152.86764705882354
app_LT_entropy_shannon_9_coef,61,548,612,61,548.0,407.0,151.11639450824353
tqwt_TKEO_std_dec_6,62,34,50,34,50.0,48.666666666666664,45.77301679212508
app_entropy_log_6_coef,63,752,649,63,649.0,488.0,160.05433177572527
app_LT_entropy_log_5_coef,64,655,588,64,588.0,435.6666666666667,159.13095125373368
app_LT_entropy_shannon_10_coef,65,577,621,65,577.0,421.0,160.18775204212872
app_TKEO_std_2_coef,66,397,478,66,397.0,313.6666666666667,151.80298647360172
tqwt_entropy_shannon_dec_13,67,351,357,67,351.0,258.3333333333333,145.8045014848648
tqwt_medianValue_dec_34,68,239,215,68,215.0,174.0,127.43644917757759
tqwt_stdValue_dec_13,69,258,23,23,69.0,116.66666666666667,48.50681198910082
app_LT_TKEO_std_5_coef,70,426,263,70,263.0,253.0,146.80397833628672
app_entropy_log_2_coef,71,745,655,71,655.0,490.3333333333333,176.95454351989784
app_entropy_shannon_9_coef,72,739,657,72,657.0,489.3333333333333,178.9534208707671
app_LT_entropy_shannon_3_coef,73,686,549,73,549.0,436.0,176.70082203402538
tqwt_kurtosisValue_dec_36,74,155,115,74,115.0,114.66666666666667,104.67266234625049
std_4th_delta_delta,75,39,224,39,75.0,112.66666666666667,69.06292821756087
tqwt_stdValue_dec_16,76,52,58,52,58.0,62.0,60.447257383966246
app_LT_TKEO_mean_1_coef,77,8,17,8,17.0,34.0,15.243085880640464
app_entropy_log_3_coef,78,464,372,78,372.0,304.6666666666667,169.83832879200725
app_entropy_shannon_8_coef,79,737,658,79,658.0,491.3333333333333,193.11435585254836
app_LT_entropy_log_7_coef,80,550,590,80,550.0,406.6666666666667,187.34664421457782
tqwt_skewnessValue_dec_26,81,145,189,81,145.0,138.33333333333334,122.28309370352008
tqwt_entropy_log_dec_13,82,740,625,82,625.0,482.3333333333333,198.06590881395468
tqwt_minValue_dec_13,83,94,41,41,83.0,72.66666666666667,63.72574540142108
app_LT_entropy_log_8_coef,84,586,592,84,586.0,420.6666666666667,196.0728473256419
app_LT_entropy_log_9_coef,85,551,593,85,551.0,409.6666666666667,196.51605135111552
tqwt_TKEO_std_dec_14,86,208,197,86,197.0,163.66666666666666,139.4587235838852
app_LT_entropy_log_10_coef,87,662,594,87,594.0,447.6666666666667,204.2437970149254
tqwt_entropy_shannon_dec_8,88,516,525,88,516.0,376.3333333333333,197.28557714588365
app_entropy_log_7_coef,89,664,647,89,647.0,466.6666666666667,209.9726627212436
tqwt_energy_dec_25,90,45,83,45,83.0,72.66666666666667,66.10619469026548
app_LT_entropy_shannon_5_coef,91,640,547,91,547.0,426.0,208.62795434154776
tqwt_TKEO_mean_dec_8,92,185,216,92,185.0,164.33333333333334,143.50908239213032
app_entropy_shannon_10_coef,93,741,656,93,656.0,496.6666666666667,220.1575346134928
tqwt_medianValue_dec_26,94,152,183,94,152.0,143.0,132.2650659292483
tqwt_medianValue_dec_23,95,364,388,95,364.0,282.3333333333333,189.2638429130304
tqwt_TKEO_std_dec_7,96,142,99,96,99.0,112.33333333333333,108.85368607839975
app_LT_entropy_log_2_coef,97,652,602,97,602.0,450.3333333333333,222.15392634719592
app_LT_entropy_shannon_4_coef,98,650,542,98,542.0,430.0,220.79016703757708
tqwt_entropy_shannon_dec_15,99,671,597,99,597.0,455.6666666666667,226.13579627422692
tqwt_entropy_log_dec_6,100,726,580,100,580.0,468.6666666666667,228.98056844547563
tqwt_minValue_dec_17,101,159,289,101,159.0,183.0,152.667825305102
tqwt_medianValue_dec_12,102,360,403,102,360.0,288.3333333333333,199.16233748755081
std_11th_delta_delta,103,84,169,84,103.0,118.66666666666667,108.96941994783258
app_entropy_log_10_coef,104,565,643,104,565.0,437.3333333333333,231.83019141916893
app_entropy_log_9_coef,105,628,644,105,628.0,459.0,236.79920891016968
app_entropy_log_8_coef,106,629,631,106,629.0,455.3333333333333,237.93334074829536
app_det_TKEO_mean_1_coef,107,566,642,107,566.0,438.3333333333333,236.7758470894874
tqwt_minValue_dec_15,108,690,719,108,690.0,505.6666666666667,247.94709709663388
tqwt_energy_dec_12,109,59,69,59,69.0,79.0,73.86212062364757
numPeriodsPulses,110,306,201,110,201.0,205.66666666666666,173.0701933899519
apq11Shimmer,111,256,317,111,256.0,228.0,186.68519912956376
app_LT_TKEO_std_6_coef,112,720,603,112,603.0,478.3333333333333,250.5044510385757
app_LT_TKEO_std_2_coef,113,718,595,113,595.0,475.3333333333333,251.61479136660648
tqwt_stdValue_dec_14,114,675,750,114,675.0,513.0,258.91655450874833
tqwt_entropy_log_dec_15,115,489,505,115,489.0,369.6666666666667,235.83348327358792
tqwt_stdValue_dec_6,116,728,742,116,728.0,528.6666666666666,264.50303364589075
tqwt_entropy_log_dec_26,117,391,467,117,391.0,325.0,226.48550266270408
app_TKEO_std_8_coef,118,542,689,118,542.0,449.6666666666667,254.86422104662464
ppq5Jitter,119,270,116,116,119.0,168.33333333333334,144.73347658373677
tqwt_stdValue_dec_11,120,20,13,13,20.0,51.0,22.180094786729853
tqwt_medianValue_dec_16,121,40,103,40,103.0,88.0,69.81095084722027
tqwt_meanValue_dec_11,122,212,326,122,212.0,220.0,187.720723127616
app_TKEO_std_7_coef,123,582,690,123,582.0,465.0,265.543835881556
tqwt_TKEO_std_dec_8,124,634,661,124,634.0,473.0,268.94583320394577
app_TKEO_std_9_coef,125,614,688,125,614.0,475.6666666666667,270.705524093359
tqwt_skewnessValue_dec_23,126,49,134,49,126.0,103.0,83.78166351606806
app_entropy_shannon_2_coef,127,723,726,127,723.0,525.3333333333334,282.0993284160012
tqwt_entropy_log_dec_27,128,5,26,5,26.0,53.0,12.181551976573937
app_LT_TKEO_mean_9_coef,129,667,608,129,608.0,468.0,275.3322865699083
tqwt_skewnessValue_dec_18,130,506,518,130,506.0,384.6666666666667,258.64088576720275
tqwt_minValue_dec_8,131,60,105,60,105.0,98.66666666666667,88.69425040300912
app_LT_entropy_shannon_2_coef,132,651,572,132,572.0,451.6666666666667,276.24035608308606
tqwt_TKEO_mean_dec_17,133,25,12,12,25.0,56.666666666666664,22.926642405669416
tqwt_minValue_dec_9,134,674,717,134,674.0,508.3333333333333,290.10548165315714
meanPeriodPulses,135,285,265,135,265.0,228.33333333333334,204.22383575363045
tqwt_stdValue_dec_36,136,534,709,136,534.0,459.6666666666667,282.05992834892106
tqwt_entropy_log_dec_10,137,735,627,137,627.0,499.6666666666667,292.5484794706528
tqwt_maxValue_dec_7,138,543,551,138,543.0,410.6666666666667,275.15666922128554
tqwt_skewnessValue_dec_13,139,415,441,139,415.0,331.6666666666667,252.70697916218265
tqwt_stdValue_dec_8,140,698,744,140,698.0,527.3333333333334,302.43130816758924
app_LT_TKEO_mean_8_coef,141,561,577,141,561.0,426.3333333333333,282.8099079840134
tqwt_energy_dec_16,142,381,376,142,376.0,299.6666666666667,243.37808973080755
tqwt_TKEO_mean_dec_9,143,494,417,143,417.0,351.3333333333333,262.80334016314225
tqwt_energy_dec_13,144,219,303,144,219.0,222.0,202.55236883942766
app_LT_entropy_log_3_coef,145,549,584,145,549.0,426.0,287.6215144947113
tqwt_TKEO_std_dec_16,146,731,677,146,677.0,518.0,309.4567188470352
tqwt_maxValue_dec_13,147,653,531,147,531.0,443.6666666666667,293.61809823902485
std_10th_delta,148,46,33,33,46.0,75.66666666666667,51.02134746404239
tqwt_entropy_shannon_dec_27,149,267,327,149,267.0,247.66666666666666,221.97834655746098
tqwt_entropy_log_dec_8,150,730,591,150,591.0,490.3333333333333,308.3698656247022
GNE_mean,151,301,191,151,191.0,214.33333333333334,197.62354021383638
rapJitter,152,249,244,152,244.0,215.0,204.17368746867908
app_TKEO_std_5_coef,153,585,663,153,585.0,467.0,307.5773195876289
tqwt_meanValue_dec_15,154,206,149,149,154.0,169.66666666666666,166.11953516704932
app_det_TKEO_mean_10_coef,155,593,634,155,593.0,460.6666666666667,308.79317562399865
app_LT_entropy_log_4_coef,156,654,587,156,587.0,465.6666666666667,311.11018296293986
tqwt_TKEO_std_dec_15,157,77,5,5,77.0,79.66666666666667,13.67637076702617
tqwt_entropy_shannon_dec_12,158,524,513,158,513.0,398.3333333333333,294.4979360141266
tqwt_minValue_dec_6,159,600,714,159,600.0,491.0,320.6315135425198
tqwt_entropy_log_dec_19,160,610,618,160,610.0,462.6666666666667,315.54145014473545
tqwt_entropy_shannon_dec_7,161,348,363,161,348.0,290.6666666666667,253.38770323304055
tqwt_maxValue_dec_28,162,437,481,162,437.0,360.0,284.6253604633992
std_10th_delta_delta,163,197,311,163,197.0,223.66666666666666,207.94998993551792
tqwt_entropy_shannon_dec_6,164,333,429,164,333.0,308.6666666666667,262.43122934752165
tqwt_stdValue_dec_33,165,744,706,165,706.0,538.3333333333334,340.0927648152944
tqwt_skewnessValue_dec_8,166,28,146,28,146.0,113.33333333333333,61.74402523353149
ddpJitter,167,448,489,167,448.0,368.0,292.2507781899129
app_TKEO_std_10_coef,168,692,687,168,687.0,515.6666666666666,338.8654345501757
tqwt_maxValue_dec_9,169,605,534,169,534.0,436.0,317.70535397363267
tqwt_entropy_log_dec_14,170,743,624,170,624.0,512.3333333333334,339.71960656416036
tqwt_maxValue_dec_16,171,625,539,171,539.0,445.0,322.46827412351496
tqwt_stdValue_dec_10,172,709,746,172,709.0,542.3333333333334,350.2678785483089
tqwt_medianValue_dec_20,173,129,176,129,173.0,159.33333333333334,156.1353138374697
app_det_TKEO_mean_5_coef,174,55,18,18,55.0,82.33333333333333,37.743207712532865
app_LT_TKEO_mean_4_coef,175,63,74,63,74.0,104.0,85.46810070887314
tqwt_entropy_shannon_dec_19,176,65,108,65,108.0,116.33333333333333,98.92601686772711
tqwt_maxValue_dec_10,177,399,245,177,245.0,273.6666666666667,245.1457899434692
tqwt_kurtosisValue_dec_18,178,109,179,109,178.0,155.33333333333334,147.21121865065348
std_11th_delta,179,336,385,179,336.0,300.0,268.8127420971368
app_TKEO_std_6_coef,180,429,276,180,276.0,295.0,260.6486645142354
DFA,181,165,268,165,181.0,204.66666666666666,195.8632222068144
tqwt_stdValue_dec_17,182,595,725,182,595.0,500.6666666666667,350.693105424983
app_entropy_log_4_coef,183,749,651,183,651.0,527.6666666666666,359.8981055365764
IMF_SNR_SEO,184,188,283,184,188.0,218.33333333333334,209.97374667543681
tqwt_minValue_dec_14,185,505,483,185,483.0,391.0,317.2589906139045
app_LT_TKEO_std_10_coef,186,750,566,186,566.0,500.6666666666667,353.9212522188156
tqwt_energy_dec_11,187,213,242,187,213.0,214.0,211.6452781579583
numPulses,188,141,219,141,188.0,182.66666666666666,176.7038626609442
tqwt_skewnessValue_dec_5,189,644,614,189,614.0,482.3333333333333,354.0882216375174
std_3rd_delta_delta,190,225,161,161,190.0,192.0,188.45662392187285
tqwt_entropy_log_dec_20,191,403,437,191,403.0,343.6666666666667,299.840449144409
tqwt_maxValue_dec_8,192,607,541,192,541.0,446.6666666666667,344.66085644575554
tqwt_minValue_dec_16,193,715,720,193,715.0,542.6666666666666,376.4664574268555
tqwt_maxValue_dec_14,194,603,535,194,535.0,444.0,345.5356225972023
tqwt_medianValue_dec_18,195,154,156,154,156.0,168.33333333333334,166.37119113573405
tqwt_kurtosisValue_dec_6,196,467,451,196,451.0,371.3333333333333,317.1025003520721
tqwt_entropy_log_dec_5,197,724,581,197,581.0,500.6666666666667,366.8141749873475
app_det_TKEO_mean_8_coef,198,540,636,198,540.0,458.0,353.99550224887554
tqwt_kurtosisValue_dec_28,199,81,136,81,136.0,138.66666666666666,121.34083654679975
app_LT_TKEO_mean_10_coef,200,716,600,200,600.0,505.3333333333333,372.0554272517321
tqwt_stdValue_dec_7,201,701,743,201,701.0,548.3333333333334,387.2190393878832
Ed2_3_coef,202,408,459,202,408.0,356.3333333333333,313.14832535885165
tqwt_meanValue_dec_8,203,411,410,203,410.0,341.3333333333333,306.1779737628031
tqwt_stdValue_dec_35,204,706,708,204,706.0,539.3333333333334,388.057115021616
tqwt_stdValue_dec_19,205,702,723,205,702.0,543.3333333333334,390.3365133911321
std_7th_delta,206,47,73,47,73.0,108.66666666666667,75.32087670065006
tqwt_skewnessValue_dec_22,207,514,508,207,508.0,409.6666666666667,343.0552483148777
tqwt_TKEO_mean_dec_36,208,228,217,208,217.0,217.66666666666666,217.3605564786392
GQ_std_cycle_open,209,341,387,209,341.0,312.3333333333333,291.2276510898602
locShimmer,210,283,338,210,283.0,277.0,266.57061717035884
tqwt_stdValue_dec_18,211,517,526,211,517.0,418.0,349.8659309167403
app_LT_entropy_shannon_1_coef,212,513,522,212,513.0,415.6666666666667,349.5685521114272
tqwt_skewnessValue_dec_16,213,407,409,213,407.0,343.0,312.6033573240153
tqwt_stdValue_dec_30,214,704,703,214,703.0,540.3333333333334,399.15767892363164
tqwt_skewnessValue_dec_11,215,304,281,215,281.0,266.6666666666667,260.88418979256534
tqwt_TKEO_mean_dec_7,216,736,571,216,571.0,507.6666666666667,387.6149895810797
tqwt_minValue_dec_7,217,636,715,217,636.0,522.6666666666666,395.818918662347
tqwt_energy_dec_5,218,597,553,218,553.0,456.0,371.7234389445648
app_LT_TKEO_std_7_coef,219,734,617,219,617.0,523.3333333333334,397.3850259166314
tqwt_entropy_shannon_dec_17,220,113,35,35,113.0,122.66666666666667,71.48569081199507
tqwt_kurtosisValue_dec_27,221,312,320,221,312.0,284.3333333333333,276.36995223621363
